name,link,severity,package,version,fixedBy
CVE-2023-31438,https://avd.aquasec.com/nvd/cve-2023-31438,LOW,libudev1,257.13-1~deb13u1,
CVE-2023-31439,https://avd.aquasec.com/nvd/cve-2023-31439,LOW,libudev1,257.13-1~deb13u1,
CVE-2026-40228,https://avd.aquasec.com/nvd/cve-2026-40228,LOW,libudev1,257.13-1~deb13u1,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libuuid1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libuuid1,2.41-5,2.41.3-1
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,login,1:4.16.0-2+really2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,login,1:4.16.0-2+really2.41-5,2.41.3-1
CVE-2007-5686,https://avd.aquasec.com/nvd/cve-2007-5686,LOW,login.defs,1:4.17.4-2,
CVE-2024-56433,https://avd.aquasec.com/nvd/cve-2024-56433,LOW,login.defs,1:4.17.4-2,
TEMP-0628843-DBAD28,https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28,LOW,login.defs,1:4.17.4-2,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,mount,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,mount,2.41-5,2.41.3-1
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,ncurses-base,6.5+20250216-2,
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,ncurses-bin,6.5+20250216-2,
CVE-2007-5686,https://avd.aquasec.com/nvd/cve-2007-5686,LOW,passwd,1:4.17.4-2,
CVE-2024-56433,https://avd.aquasec.com/nvd/cve-2024-56433,LOW,passwd,1:4.17.4-2,
TEMP-0628843-DBAD28,https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28,LOW,passwd,1:4.17.4-2,
CVE-2011-4116,https://avd.aquasec.com/nvd/cve-2011-4116,LOW,perl-base,5.40.1-6,
TEMP-0517018-A83CE6,https://security-tracker.debian.org/tracker/TEMP-0517018-A83CE6,LOW,sysvinit-utils,3.14-4,
CVE-2005-2541,https://avd.aquasec.com/nvd/cve-2005-2541,LOW,tar,1.35+dfsg-3.1,
TEMP-0290435-0B57B5,https://security-tracker.debian.org/tracker/TEMP-0290435-0B57B5,LOW,tar,1.35+dfsg-3.1,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,util-linux,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,util-linux,2.41-5,2.41.3-1
CVE-2026-75803,https://avd.aquasec.com/nvd/cve-2026-75803,UNDEFINED,libssl3t64,3.5.6-1~deb13u2,
CVE-2026-75803,https://avd.aquasec.com/nvd/cve-2026-75803,UNDEFINED,openssl,3.5.6-1~deb13u2,
CVE-2026-75803,https://avd.aquasec.com/nvd/cve-2026-75803,UNDEFINED,openssl-provider-legacy,3.5.6-1~deb13u2,
CVE-2026-15534,https://avd.aquasec.com/nvd/cve-2026-15534,UNDEFINED,perl-base,5.40.1-6,
CVE-2026-19487,https://avd.aquasec.com/nvd/cve-2026-19487,UNDEFINED,perl-base,5.40.1-6,
CVE-2026-7017,https://avd.aquasec.com/nvd/cve-2026-7017,UNDEFINED,perl-base,5.40.1-6,
